train/eval | 01_五模型基准对比 | FNN | seed=20260425 | epochs=1600
    epoch  800 | loss=2.619339e-04 | data=2.384842e-04
    epoch 1000 | loss=2.185016e-04 | data=2.012784e-04
    epoch 1200 | loss=1.996778e-04 | data=1.863790e-04
    epoch 1400 | loss=1.683660e-04 | data=1.581497e-04
    epoch 1600 | loss=1.520569e-04 | data=1.440402e-04
train/eval | 02_模块一_粗筛 | M1_0_5d_baseline | seed=20260425 | epochs=800
    epoch    1 | loss=1.033739e+00 | data=1.033737e+00
    epoch  200 | loss=8.438489e-04 | data=7.618361e-04
    epoch  400 | loss=4.274833e-04 | data=3.607990e-04
    epoch  600 | loss=3.338885e-04 | data=2.850749e-04
    epoch  800 | loss=2.806638e-04 | data=2.453234e-04
train/eval | 02_模块一_粗筛 | M1_0_5d_baseline | seed=20260426 | epochs=800
    epoch    1 | loss=1.227352e+00 | data=1.227335e+00
    epoch  200 | loss=1.082874e-03 | data=1.016749e-03
    epoch  400 | loss=4.789275e-04 | data=4.196410e-04
    epoch  600 | loss=3.524134e-04 | data=3.036937e-04
    epoch  800 | loss=2.842577e-04 | data=2.455327e-04
train/eval | 02_模块一_粗筛 | M1_R1_static_ratio | seed=20260425 | epochs=800
    epoch    1 | loss=1.550639e+00 | data=1.550614e+00
    epoch  200 | loss=9.097572e-04 | data=8.821408e-04
    epoch  400 | loss=4.236701e-04 | data=3.986628e-04
    epoch  600 | loss=3.257723e-04 | data=3.044012e-04
    epoch  800 | loss=2.799924e-04 | data=2.621637e-04
train/eval | 02_模块一_粗筛 | M1_R1_static_ratio | seed=20260426 | epochs=800
    epoch    1 | loss=1.022355e+00 | data=1.022349e+00
    epoch  200 | loss=5.500491e-04 | data=5.205484e-04
    epoch  400 | loss=3.273908e-04 | data=2.994155e-04
    epoch  600 | loss=2.687126e-04 | data=2.441459e-04
    epoch  800 | loss=2.393327e-04 | data=2.178205e-04
train/eval | 02_模块一_粗筛 | M1_R2_log_cycle_replace | seed=20260425 | epochs=800
    epoch    1 | loss=1.575376e+00 | data=1.575349e+00
    epoch  200 | loss=9.506036e-04 | data=9.505937e-04
    epoch  400 | loss=4.471635e-04 | data=4.471595e-04
    epoch  600 | loss=3.389245e-04 | data=3.389221e-04
    epoch  800 | loss=2.867795e-04 | data=2.867777e-04
train/eval | 02_模块一_粗筛 | M1_R2_log_cycle_replace | seed=20260426 | epochs=800
    epoch    1 | loss=1.079449e+00 | data=1.079445e+00
    epoch  200 | loss=5.053593e-04 | data=5.052447e-04
    epoch  400 | loss=2.887698e-04 | data=2.887188e-04
    epoch  600 | loss=2.526258e-04 | data=2.525929e-04
    epoch  800 | loss=2.494042e-04 | data=2.493826e-04
train/eval | 02_模块一_粗筛 | M1_R3_log_cycle_keep | seed=20260425 | epochs=800
    epoch    1 | loss=7.866523e-01 | data=7.866495e-01
    epoch  200 | loss=8.813793e-04 | data=8.572752e-04
    epoch  400 | loss=3.946850e-04 | data=3.765576e-04
    epoch  600 | loss=2.848450e-04 | data=2.711141e-04
    epoch  800 | loss=2.437604e-04 | data=2.334619e-04
train/eval | 02_模块一_粗筛 | M1_R3_log_cycle_keep | seed=20260426 | epochs=800
    epoch    1 | loss=1.098453e+00 | data=1.098408e+00
    epoch  200 | loss=1.088852e-03 | data=1.067219e-03
    epoch  400 | loss=4.443568e-04 | data=4.268985e-04
    epoch  600 | loss=3.219963e-04 | data=3.083434e-04
    epoch  800 | loss=2.754589e-04 | data=2.647197e-04
train/eval | 02_模块一_复筛 | M1_R2_log_cycle_replace | seed=20260425 | epochs=1200
    epoch    1 | loss=1.575376e+00 | data=1.575349e+00
